ISO_Code,Countries,Economic Freedom Summary Index,Ranking Economic Freedom_x,iso3,Name,Overall Score,Ranking Economic Freedom_y
ETH,Ethiopia,5.58,151.0,ETH,Ethiopia,53.6,145.0
TCD,Chad,5.55,152.0,TCD,Chad,50.2,161.0
LBN,Lebanon,5.45,154.0,LBN,Lebanon,51.7,157.0
CAF,CentralAfricanRepublic,5.4,155.0,CAF,Central African Republic,50.7,159.0
COD,"Congo, Dem. Rep.",5.36,156.0,COD,Democratic Republic of Congo,49.5,162.0
DZA,Algeria,5.12,157.0,DZA,Algeria,46.9,169.0
COG,"Congo, Rep.",5.08,158.0,COG,Republic of Congo ,41.8,176.0
IRN,"Iran, Islamic Rep.",4.96,159.0,IRN,Iran,49.2,164.0
ARG,Argentina,4.87,161.0,ARG,Argentina,53.1,149.0
ZWE,Zimbabwe,4.48,163.0,ZWE,Zimbabwe,43.1,174.0
SDN,Sudan,4.21,164.0,SDN,Sudan,45.0,173.0
VEN,"Venezuela, RB",3.32,165.0,VEN,Venezuela ,25.2,179.0
